,didomiVendorsConsent,page.section,page.subSection,page.name,page.language,page.category,page.subCategory,page.subSubCategory,page.template,page.position,user.status,response.statusCode,response.loadBalancer,ad.id,ad.operation,ad.typology,ad.address.municipalityId,ad.address.provinceId,ad.address.locationId,ad.address.locationLevel,ad.builtType,ad.energyCertification.type,ad.energyCertification.suffix,ad.price,ad.characteristics.roomNumber,ad.characteristics.bathNumber,ad.characteristics.hasLift,ad.characteristics.hasParking,ad.characteristics.hasGarden,ad.characteristics.hasSwimmingPool,ad.characteristics.hasTerrace,ad.characteristics.constructedArea,ad.condition.isNewDevelopment,ad.condition.isNeedsRenovating,ad.condition.isGoodCondition,ad.media.photoNumber,ad.media.videoNumber,ad.media.hasFloorPlan,ad.media.has3Dtour,ad.media.hasHomeStaging,ad.owner.type,ad.owner.commercialId,ad.owner.commercialName,ad.owner.contactPreference,ad.owner.chatIsActive,ad.origin,ad.isRecommended,ad.isSuitableForRecommended,ad.numberRecommended,ad.originTypeRecommended,ad.typeRecommended,ad.isAuction,ad.recommendationId,ad.vtRecommendationAdId,ad.vtRecommendationId,ad.isFavourite,search.operation,search.typology,search.geo.type,search.geo.locationId,search.geo.locationLevel,search.orderBy,correlation.id,correlation.session,event.id,event.type,event.name,event.action,event.role,event.user_role,event.channel,event.origin,event.outcome,event.hash,event.markup.xtPage,event.markup.name,event.markup.category,event.markup.subCategory,event.markup.subSubCategory,event.productType,event.agencyNames,event.transactionId,post.id,post.time,latitude,longitude,distrito,barrio,planta,garaje,garaje_coste,int_ext,elevator,price_per_sqm
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100014621,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-005,8,3,inProcess,,151000.0,3.0,1.0,0,,,,,67.0,0,0,1,23,2,1,0,0,2,,tecnocasa-moscardo-plaza-eliptica,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-005,8,relevance-desc,bd1e6600-e581-439a-a9be-e252702f28d6,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,d93e88b8-05b0-4169-a13e-de5aca0d86c4,1676319386115,40.386986,-3.7130784,Usera,Moscardó,3,None,0.0,exterior,no,2253.731343283582
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100014751,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-007,8,3,inProcess,,144000.0,2.0,1.0,0,,,,,66.0,0,0,1,35,0,1,1,0,2,,bafre-inmobiliaria,1,0,4,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-007,8,relevance-desc,83f89e9d-1406-4ac8-a441-8294f5faea04,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,ce0bdcd3-39af-4348-91a9-7cb4b5b02b70,1676322016930,40.3826724,-3.7035205,Usera,Pradolongo,1,None,0.0,exterior,no,2181.818181818182
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100014756,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-005,8,3,inProcess,,128000.0,2.0,1.0,0,,,,1,58.0,0,0,1,26,0,1,1,0,2,,bafre-inmobiliaria,1,0,4,0,0,topHighlight,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-005,8,relevance-desc,aec755ae-c4f9-4158-baee-04125b1068e3,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,04409e6b-fd53-4a43-9365-7c7cac639f52,1676318962976,40.3884644,-3.7106982,Usera,Moscardó,4,None,0.0,exterior,no,2206.896551724138
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100015167,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-001,8,3,e,,170000.0,0.0,1.0,1,,,,,30.0,0,0,1,21,0,0,0,0,2,,agisa,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-001,8,relevance-desc,78c58c89-d33b-4e89-b208-b54fa6dbd436,db7f66b9-9f07-4726-a0d8-311f81d1185b,,,,,,,,,,,,,,,,,[],,4eab8032-f167-45de-8828-d22ea894ec0b,1676398414800,40.4047716,-3.6755711,Retiro,Pacífico,5,None,0.0,exterior,yes,5666.666666666667
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100016318,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-007,8,2,inProcess,,96000.0,1.0,1.0,0,,,,1,59.0,0,1,0,2,0,0,0,0,2,,garsierra,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-007,8,relevance-desc,c244c70d-caab-48dc-b7dd-e172703fae75,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,52dfe0d8-778d-46b3-963c-ad4660e92b1b,1676322337699,40.3821111,-3.7058139,Usera,Pradolongo,2,None,0.0,exterior,no,1627.1186440677966
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100017566,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-001,8,3,e,spainDefault,496000.0,3.0,2.0,1,0,0,0,0,96.0,0,0,1,36,2,1,1,0,2,,aproperties-mad,1,0,4,0,0,topHighlight,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-001,8,relevance-desc,be9efbb4-72c2-47bf-a68d-c62a72665521,db7f66b9-9f07-4726-a0d8-311f81d1185b,,,,,,,,,,,,,,,,,[],,6609e5f8-94e9-4e64-a443-a6dcaff8e228,1676397482023,40.4040119,-3.6792734,Retiro,Pacífico,1,None,0.0,exterior,yes,5166.666666666667
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100022503,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-005,8,3,inProcess,,145000.0,2.0,1.0,0,,,,1,74.0,0,0,1,16,0,0,0,0,2,,mcciudaddebarcelona,1,1,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-005,8,relevance-desc,273ec14a-9d9a-4a6b-b7e0-cc84d930c931,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,9f7fdd3e-38d2-458e-8d89-369c9e52a4ad,1676319563786,40.38946,-3.706131,Usera,Moscardó,4,None,0.0,exterior,no,1959.4594594594594
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100022818,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-002,8,3,e,,480000.0,2.0,2.0,1,1,1,1,1,117.0,0,0,1,38,1,1,0,0,2,,p00019421,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-002,8,relevance-desc,2104a475-6f2a-4e91-8e0e-edc304594794,db7f66b9-9f07-4726-a0d8-311f81d1185b,,,,,,,,,,,,,,,,,[],,7e138b72-0e98-4c06-8b29-486881e0a753,1676398959931,40.3983392,-3.6698973,Retiro,Adelfas,7,Garaje incluido,0.0,exterior,yes,4102.5641025641025
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100023915,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-005,8,3,inProcess,,395000.0,3.0,1.0,1,,,,,84.0,0,0,1,41,1,1,1,0,2,,kdkasa-gestion-inmobiliaria,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-005,8,relevance-desc,6f86b8d3-3ad8-4d8a-bea7-a75f02ea2605,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,c40876a4-62ef-4ab6-b727-4eca94d384d7,1676301442692,40.3944663,-3.6946666,Arganzuela,Delicias,1,None,0.0,exterior,yes,4702.380952380952
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100027241,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-005,8,3,d,,255000.0,1.0,1.0,0,,,,,53.0,0,0,1,30,0,0,0,0,2,,altorasesores,1,0,11,0,0,topHighlight,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-005,8,relevance-desc,690fbbaf-d822-448e-8bbc-a1b0370476bc,db7f66b9-9f07-4726-a0d8-311f81d1185b,,,,,,,,,,,,,,,,,[],,e2f5ff5f-8876-4b97-a40f-8a910202037f,1676399888136,40.4118398,-3.6907223,Retiro,Jerónimos,0,None,0.0,interior,unknown,4811.320754716981
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100027371,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-006,8,3,inProcess,,230000.0,2.0,1.0,0,,,,,70.0,0,0,1,15,0,0,0,0,2,,tecnocasa-ferrocarril-delicias,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-006,8,relevance-desc,e18e0e3e-e0df-4587-8acb-9ac6220e2254,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,6d6ae4c8-8df2-44e6-b758-5f00da4a1efe,1676318691574,40.4004394,-3.6966581,Arganzuela,Palos de Moguer,4,None,0.0,exterior,no,3285.714285714286
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100027702,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-004,8,3,inProcess,,660000.0,2.0,2.0,1,0,0,0,0,119.0,0,0,1,30,1,1,0,0,2,,altter,1,0,12,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-004,8,relevance-desc,5bf7e142-fe57-49bc-a111-60999d765f75,948b4ba8-7720-4b1b-b113-eb4da5fc83f6,,,,,,,,,,,,,,,,,[],,f0e1bfce-cd44-42d8-94de-fc6ace2bdc37,1676480873637,40.4180425,-3.6746325,Retiro,Ibiza,2,None,0.0,exterior,yes,5546.218487394958
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100029399,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-002,8,2,inProcess,,448800.0,3.0,1.0,1,,,,,99.0,0,1,0,14,0,1,0,0,2,,nc-gestion-inmobiliaria,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-002,8,relevance-desc,a4ce8a50-8fdc-4fee-8437-1360a085252a,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,c23cb0c4-980f-448f-af50-0966223ca022,1676318176789,40.3983145,-3.6994484,Arganzuela,Acacias,4,None,0.0,exterior,yes,4533.333333333333
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100032749,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-005,8,3,e,,250000.0,1.0,1.0,1,,,,,50.0,0,0,1,33,1,0,0,0,2,,tu-piso,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-005,8,relevance-desc,dddd5c08-d3ec-4d6c-a7ae-28ecfc165e45,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,e4cd405b-d0b5-4dd7-b63b-ac6d49908122,1676302180039,40.4000743,-3.6868482,Arganzuela,Delicias,2,None,0.0,exterior,yes,5000.0
